okrug,n_okrug,deputat
Брестский-Западный № 1,1,Брич Леонид Григорьевич
Брестский-Центральный № 2,2,Васько Марина Викторовна
Брестский-Восточный № 3,3,Дашко Анатолий Михайлович
Брестский-Пограничный № 4,4,Зайцев Евгений Станиславович
Барановичский-Западный № 5,5,Хлобукин Игорь Константинович
Барановичский–Восточный № 6,6,Попко Павел Иванович
Барановичский сельский № 7,7,Жолнерчик Людмила Николаевна
Беловежский № 8,8,Стативко Жанна Владимировна
Пружанский № 9,9,Левчук Александр Георгиевич
Днепро-Бугский № 10,10,Бартош Светлана Владимировна
Ивацевичский № 11,11,Голуб Наталья Григорьевна
Кобринский № 12,12,Демидович Василий Николаевич
Лунинецкий № 13,13,Насеня Анатолий Васильевич
Пинский городской № 14,14,Омельянюк Александр Павлович
Пинский сельский № 15,15,Бегеба Валентина Константиновна
Столинский № 16,16,Боболович Александр Сергеевич
Витебский-Горьковский № 17,17,Николайкин Виктор Павлович
Витебский-Чкаловский № 18,18,Автухова Татьяна Анатольевна
Витебский-Железнодорожный № 19,19,Горваль Светлана Александровна
Витебский-Октябрьский № 20,20,Егоров Алексей Владимирович
Городокский № 21,21,Полякова Ирина Михайловна
Докшицкий № 22,22,Андрейченко Владимир Павлович
Лепельский № 23,23,Мартынов Игорь Феликсович
Новополоцкий № 24,24,Карась Денис Николаевич
Оршанский городской № 25,25,Крачек Инна Юрьевна
Оршанский-Днепровский № 26,26,Васюков Виталий Михайлович
Полоцкий городской № 27,27,Одинцова Светлана Владимировна
Полоцкий сельский № 28,28,Шевчук Николай Николаевич
Поставский № 29,29,Сильчёнок Павел Матвеевич
Сенненский № 30,30,Дубов Александр Васильевич
Гомельский-Юбилейный № 31,31,Уткин Виталий Юрьевич
Гомельский-Сельмашевский № 32,32,Данченко Александр Михайлович
Гомельский-Центральный № 33,33,Злотников Андрей Анатольевич
Гомельский-Советский № 34,34,Довгало Ирина Викторовна
Гомельский-Промышленный № 35,35,Машкаров Александр Валерьевич
Гомельский-Новобелицкий № 36,36,Креч Ольга Зеноновна
Гомельский сельский № 37,37,Завалей Игорь Владимирович
Буда-Кошелевский № 38,38,Васильков Николай Андреевич
Житковичский № 39,39,Кралевич Ирина Николаевна
Жлобинский № 40,40,Волков Игорь Владимирович
Калинковичский № 41,41,Адаменко Евгений Буниславович
Мозырский № 42,42,Назаренко Валентина Алексеевна
Полесский № 43,43,Писаник Леонид Федорович
Речицкий № 44,44,Стельмашок Сергей Петрович
Рогачевский № 45,45,Кравцов Сергей Владимирович
Светлогорский № 46,46,Тавтын Игорь Павлович
Хойникский № 47,47,Чернявская Жанна Николаевна
Волковысский № 48,48,Поконечный Павел Леонидович
Гродненский-Занеманский № 49,49,Луканская Ирина Эдуардовна
Гродненский-Октябрьский № 50,50,Потапова Елена Станиславовна
Гродненский-Центральный № 51,51,Кирьяк Лилия Вацлавовна
Гродненский-Ленинский № 52,52,Долгошей Тамара Сергеевна
Гродненский сельский № 53,53,Аутко Александр Викторович
Ивьевский № 54,54,Маркевич Александр Иванович
Лидский № 55,55,Мицкевич Валерий Вацлавович
Неманский № 56,56,Синяк Владимир Александрович
Замковый № 57,57,Сонгин Александр Генрихович
Слонимский № 58,58,Семеняко Валентин Михайлович
Сморгонский № 59,59,Свилло Виктор Збигневич
Щучинский № 60,60,Михалюк Павел
Березинский № 61,61,Лавриненко Игорь Владимирович
Борисовский городской № 62,62,Шипуло Александр Валерьевич
Борисовский сельский № 63,63,Ананич Лилия Станиславовна
Жодинский № 64,64,Стрельченок Валерий Иванович
Пуховичский № 65,65,Белоконев Олег Алексеевич
Копыльский № 66,66,Нижевич Людмила Ивановна
Слуцкий № 67,67,Ражанец Валентина Витальевна
Солигорский городской № 68,68,Струневский Андрей Николаевич
Солигорский сельский № 69,69,Мурина Юлия Григоревна
Столбцовский № 70,70,Мамайко Иван Андреевич
Дзержинский № 71,71,Саракач Александр Иванович
Молодечненский городской № 72,72,Кананович Людмила Николаевна
Молодечненский сельский № 73,73,Семенчук Олег Алексеевич
Вилейский № 74,74,Супранович Ирина Александровна
Логойский № 75,75,Вабищевич Петр Андреевич
Сеницкий № 76,76,Подлужная Людмила Брониславовна
Заславский № 77,77,Курсевич Валентина Вацлавовна
Бобруйский-Ленинский № 78,78,Рынейская Ирина Николаевна
Бобруйский-Первомайский № 79,79,Широкая Вера Владимировна
Бобруйский сельский № 80,80,Гацко Владимир Владимирович
Быховский № 81,81,Сыранков Сергей Александрович
Горецкий № 82,82,Колеснева Елена Петровна
Кричевский № 83,83,Азаренко Владимир Николаевич
Могилевский-Ленинский № 84,84,Марзалюк Игорь Александрович
Могилевский-Центральный № 85,85,Здорикова Людмила Евгеньевна
Могилевский-Октябрьский № 86,86,Петрашова Ольга Владимировна
Могилевский-Промышленный № 87,87,Масейков Александр Анатольевич
Могилевский сельский № 88,88,Тарасенко Наталья Эдуардовна
Осиповичский № 89,89,Шутова Светлана Александровна
Шкловский № 90,90,Ганчук Андрей Александрович
Шабановский № 91,91,Лагунова Галина Николаевна
Автозаводской № 92,92,Гранковский Александр Александрович
Васнецовский № 93,93,Шкроб Марина Александровна
Свислочский № 94,94,Воронецкий Валерий Иосифович
Купаловский № 95,95,Сайганова Татьяна Ивановна
Чкаловский № 96,96,Савиных Андрей Владимирович
Октябрьский № 97,97,Клишевич Сергей Михайлович
Грушевский № 98,98,Макарина-Кибак Людмила Эдуардовна
Юго-Западный № 99,99,Комаровский Игорь Сергеевич
Есенинский № 100,100,Гайдук Оксана Вячеславовна
Каменногорский № 101,101,Старовойтова Анна Валентиновна
Западный № 102,102,Ленчевская Марина Александровна
Пушкинский № 103,103,Панасюк Василий Васильевич
Кальварийский № 104,104,Василевич Мария Викторовна
Старовиленский № 105,105,Любецкая Светлана Анатольевна
Коласовский № 106,106,Дик Сергей Константинович
Восточный № 107,107,Давыдько Геннадий Брониславович
Калиновский № 108,108,Гайдукевич Олег Сергеевич
Уручский № 109,109,Гордейчик Иван Аркадьевич
Партизанский № 110,110,Думбадзе Тенгиз Шукриевич
